filename,tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
immigrant,112,56,0.4826,0.174,2294.25,2586.88,5311.67,0.0926,-72.14146,92.46306,8.592585,26.368078,3.0054173,15.841093,-3.7866018,10.639555,-2.2031953,6.222384,-7.047727,2.8400912,-7.288561,-0.097121015,-1.9665544,1.3683517,-9.324581,0.9942443,-0.524876,2.5275507,rock
clair_de,172,86,0.2197,0.0284,591.205,597.78,866.08,0.046,-423.65308,154.90266,34.044395,-2.4930212,-5.6639404,-8.346107,-10.040744,-11.459561,-10.293037,-7.69273,-5.8476696,-4.78112,-3.8964834,-2.5233948,-0.7340463,0.118211,-0.3191022,-1.3342322,-1.7857629,-1.317055,classical
jamming,123,61,0.378,0.1574,1752.27,2225.38,3690.446,0.072,-177.26385,115.51878,9.959307,13.498111,21.159796,15.731612,0.18504755,5.0884895,-1.5793734,6.172759,-0.6382123,2.9523523,-5.5780373,1.8046418,-4.7918596,0.9407217,-5.282238,2.5622582,-1.2642145,1.7516334,reggae
beegees,129,64,0.425,0.103,2960.03,2867.58,6560.6,0.14,-114.7163,68.49937,0.74404097,8.45428,7.5585504,4.0052223,3.412274,8.863721,1.0361935,8.135733,-1.2872946,2.5566273,-2.249957,3.8610895,-2.3393307,3.4321287,-3.128578,3.3885314,-0.05993792,5.1649237,disco
cowboy,117,58,0.319,0.239,1869.43,2111.07,4005.02,0.086,-61.700455,112.60556,-5.652973,30.357067,-4.1117463,13.341318,-2.6471071,6.886372,-8.192374,5.1057787,-5.1046314,2.601401,-2.4625473,0.22905391,-6.2339034,-1.5552217,-10.017402,-2.1635542,-4.719998,-0.7568007,country
take5,123,61,0.3686,0.0928,2039.36,2463.75,4632.7,0.0735,-186.31271,99.572334,19.649586,25.34753,5.426921,11.818976,-1.6790582,2.979473,0.73952657,2.600599,-1.3600293,5.394074,-1.1870893,0.46903265,-5.8227506,1.9218264,-2.439527,1.0958946,-2.9499333,2.8212943,jazz
billie_jean,117.45,58,0.427,0.1819,2775.71,2841.45,6160.48,0.112,-93.067604,73.00405,26.310415,26.22361,3.7979407,11.074814,1.3345456,6.4706683,-0.5393703,7.7840037,-3.0484781,0.99235785,-1.7749931,2.9040773,-1.1203587,4.028691,-1.2196321,3.6136503,-2.3033793,-0.030327193,pop
tribe_quest,99,50,0.4232,0.0595,1946.23,2399.22,4304.94,0.068,-253.26628,99.3881,27.196024,35.52951,7.701403,14.167569,0.18155307,4.9353065,-5.13867,3.7106714,2.3919773,3.3685143,-7.095495,2.2562435,-2.6614063,-0.44889116,-7.2061453,-0.40131903,-6.771727,-3.8609893,hip hop
pride-joy,123,61,0.3912,0.135,2527.72,2645.98,5702.63,0.103,-95.14573,73.41346,7.093352,37.58143,7.1940517,22.154272,3.7046359,13.463817,-4.33105,-3.1892214,-11.143439,1.7684147,1.1891295,-2.7102568,-11.310138,8.650853,-2.8679938,-4.5054393,-4.6561413,3.068308,blues
sandman,123,61,0.475,0.219,2865.09,2691.77,6016.024,0.136,-30.143597,66.339035,-2.669368,37.825207,11.537696,15.965755,7.483559,8.526019,1.5475589,6.381299,-1.7973268,7.0617027,0.2792054,0.363809,-2.4623098,3.2497816,-1.8714443,4.186652,0.6323929,1.6256248,metal
